index,Nfeval,J,Jf,J_length,J_CC,J_CURVATURE,J_LENGTH_PENALTY,J_MSC,J_ALS,Lengths,curvatures,msc,B.n,C-C-Sep,Jquasisymmetry,Jiota,Jaspect
0,1,0.018292344321994756,5.689127269294309e-06,1.0787803992500167e-06,0.0,2.189389830093126e-11,1.928374515256217e-08,0.0,3.758469629002132e-07,10.787803992500168,11.93248070810405,8.81065531875372,0.00043212457309235204,0.23665497644912803,0.01205876355134059,4.1497866164598694e-08,0.00014515111279233563
1,2,850.0,16.052206391241405,1.0787041552260827e-06,0.0,1.7046705556168523e-07,7.217056171662837e-09,0.0,3.7480714018573586e-07,10.787041552260828,12.507401682917925,8.882762674228898,0.07450912476700444,0.2374758896001086,0.0,0.0,0.0
2,3,1.8198077893680877,0.001040750603068831,1.0787801119864814e-06,0.0,1.902975764265448e-11,1.9227371854657994e-08,0.0,3.758435524264136e-07,10.787801119864815,11.932036856595184,8.810838420577264,0.006033171273626387,0.2366577017333403,0.7784862534063074,6.041229671102213e-07,0.00011543064219505791
3,4,0.01785121237318639,5.281584408553888e-06,1.078780394840846e-06,0.0,2.184842966522053e-11,1.928287926251815e-08,0.0,3.7584691057586105e-07,10.78780394840846,11.93247389678725,8.810658125247656,0.0004094728816104823,0.2366550182628083,0.012026697327771618,2.909660676291108e-08,0.00014486933791648825
4,5,0.017834007071677937,5.075099103544123e-06,1.0787803257998528e-06,0.0,2.5831826934338598e-11,1.9269323260690433e-08,0.0,3.758478381533761e-07,10.78780325799853,11.933045807038596,8.810445181509547,0.0003947619352325335,0.23665560433887853,0.012220726923370341,8.37520731377063e-10,0.00014295429944934362
5,6,0.0176232084387447,5.03898657853133e-06,1.078780359926533e-06,0.0,2.3819017242105328e-11,1.9276023341132108e-08,0.0,3.7584737920704846e-07,10.787803599265331,11.93276280367892,8.810550505988985,0.00039441919904495323,0.2366553143070545,0.012044193321515724,9.845922416744024e-09,0.0001438967248906136
6,7,0.01747851563133919,5.034325296300431e-06,1.0787801834942638e-06,0.0,2.6863387638297227e-11,1.9241397002461485e-08,0.0,3.7584884312096674e-07,10.78780183494264,11.933186546349988,8.810179769842392,0.0003977116351647695,0.23665558499966344,0.01190749821978035,3.1787591179551835e-13,0.00014157497995970016
7,8,0.017312985516806573,4.830066402421976e-06,1.0787797844151276e-06,0.0,3.131114607908605e-11,1.9163189153115358e-08,0.0,3.75851178270468e-07,10.787797844151276,11.933764528416086,8.809614256309123,0.000390523915547593,0.23665595283606722,0.011949698143156915,7.28123488164342e-10,0.0001381024803092495
8,9,0.01722029649978559,4.810896163986866e-06,1.0787789580544478e-06,0.0,3.681069373382815e-11,1.9001752934352542e-08,0.0,3.758549627626282e-07,10.787789580544478,11.934424859277946,8.808720895816242,0.0003944419008409912,0.2366563605691149,0.011882977844827882,6.336963020309443e-09,0.00013089526827809962
9,10,0.017064797241420186,4.668066172412146e-06,1.0787783396895397e-06,0.0,4.1995898017411326e-11,1.8881397049716837e-08,0.0,3.7585758204395825e-07,10.787783396895398,11.935003468910914,8.808193949807434,0.0003889658123886039,0.23665624614549816,0.011871876180968617,4.641202466825721e-08,0.00012543271058092372
10,11,0.01702906638226077,4.536160694300741e-06,1.0787775666567801e-06,0.0,7.034039230309544e-11,1.8731475078051638e-08,0.0,3.758648666819858e-07,10.787775666567802,11.93767332069116,8.807189222595403,0.0003700565366551637,0.23665477392216322,0.011970499673479896,6.949741344564081e-08,0.00012078959098325273
11,12,0.016967398678772623,4.506175408746231e-06,1.0787775205097823e-06,0.0,8.929043752785823e-11,1.8722544230731654e-08,0.0,3.7586756501974566e-07,10.787775205097823,11.939161245868338,8.806899966423082,0.000368164241555634,0.23665422454658058,0.011940819522671293,4.459409434636015e-08,0.0001212649382325604
12,13,0.01686631910642662,4.380097541708317e-06,1.0787773962710676e-06,0.0,1.306521545113938e-10,1.869851084586991e-08,0.0,3.758731738493006e-07,10.787773962710677,11.941935397851577,8.80613249317779,0.00036450244809352653,0.23665219904393248,0.011966219628489665,1.2981335295355818e-08,0.00012400146584942416
13,14,0.0167218899627889,4.216408904257141e-06,1.0787767706003498e-06,0.0,1.7944545051164125e-10,1.8577712437494238e-08,0.0,3.758822183808025e-07,10.787767706003498,11.94468715137478,8.804298286744435,0.00035567451003455674,0.23664708887571984,0.011983229758520487,1.196828713673664e-09,0.00012749224087103025
14,15,0.01650277774823087,3.969589104177796e-06,1.0787755075205997e-06,0.0,2.116610865666176e-10,1.833504212257598e-08,0.0,3.7589395031112557e-07,10.787755075205997,11.946299771143565,8.800713143205652,0.0003473530320158177,0.23663837956394115,0.01200981349888866,6.35368793458173e-09,0.0001282991228506162
15,16,0.016309336387930827,3.8063476602280234e-06,1.078772210473754e-06,0.0,5.126921883284596e-11,1.770911155472437e-08,0.0,3.7591313284906457e-07,10.78772210473754,11.935951216945819,8.790460232474878,0.00034610608805650273,0.23661916379362588,0.011980066508390952,8.339213715622304e-08,0.00012090949197357339
16,17,0.01624074767045023,3.6972187672382898e-06,1.0787696251733122e-06,0.0,0.0,1.722590688530037e-08,0.0,3.7593541385769985e-07,10.787696251733122,11.92305805864072,8.777718993213098,0.0003356696373876235,0.23659776149262715,0.012027939298542524,1.0996140262053761e-07,0.00011143214366433645
17,18,0.016216164861190006,3.6875984658290575e-06,1.0787698603645713e-06,0.0,0.0,1.7269588862273333e-08,0.0,3.759493810230353e-07,10.787698603645714,11.921648753026043,8.772137511503281,0.0003332425255511105,0.23658555525067454,0.012026226155683085,1.2464076979183518e-08,0.00010787486209466806
18,19,0.016184502305349208,3.676523945893898e-06,1.0787695997073516e-06,0.0,0.0,1.7221180421759675e-08,0.0,3.7595840336393455e-07,10.787695997073516,11.917368604096591,8.76831007314343,0.00033715302123843443,0.2365745621373259,0.012009287499748162,9.238976088895036e-11,0.00010550203694544037
19,20,0.016144119257724843,3.6626734331748392e-06,1.0787689523832777e-06,0.0,0.0,1.7101255306044893e-08,0.0,3.759747265453944e-07,10.787689523832778,11.91077513602533,8.761683418347822,0.00033697528796367335,0.2365538631717273,0.011988478368381647,1.4072700719526774e-10,9.987740161625413e-05
20,21,0.016112027477013992,3.616419593798575e-06,1.0787677186170397e-06,0.0,0.0,1.687384464486358e-08,0.0,3.760009080169325e-07,10.787677186170399,11.901690780683852,8.751887446616767,0.00033563196842081877,0.2365216199672696,0.012010224617096147,7.020128708647574e-10,9.24383121704109e-05
21,22,0.01606827588393082,3.592018029323384e-06,1.0787664235331446e-06,0.0,0.0,1.6636769307070614e-08,0.0,3.7602742752147795e-07,10.787664235331446,11.893218394760128,8.742309260452185,0.0003353467117067622,0.2364915739377844,0.011995979496173342,6.8091208227375e-10,8.754607039736848e-05
22,23,0.016028311278267517,3.5653163104256257e-06,1.078764723360355e-06,0.0,0.0,1.6328085474013937e-08,0.0,3.760700164714784e-07,10.787647233603549,11.879865479020404,8.725895542559858,0.0003347212787311443,0.23644804049738805,0.011989768480632582,3.909521136427189e-10,8.078929005236134e-05
23,24,0.015984927170344852,3.53058635280152e-06,1.078764095204965e-06,0.0,0.0,1.621476868694622e-08,0.0,3.7611237005170127e-07,10.787640952049651,11.870921980191074,8.708552516826822,0.0003390776350609832,0.23641090332379544,0.011988114761302565,4.108953673677931e-09,7.348802213468503e-05
