index,Nfeval,J,Jf,J_length,J_CC,J_CURVATURE,J_LENGTH_PENALTY,J_MSC,J_ALS,Lengths,curvatures,msc,B.n,C-C-Sep
0,1,9.044071323974891e-07,8.931762383849579e-07,1.07873388574802e-06,0.0,0.0,1.1230894012531173e-08,0.0,2.394239540510672e-07,10.7873388574802,11.883649657579609,10.505451943322653,0.0001720079377282603,0.2609414524198408
1,2,9.803839001776947,0.04575871573144194,1.7024768747542176e-06,9.380798253240885e-05,0.21178701622967874,0.19462115136450547,9.563365326698467,2.5631889904128684e-06,17.024768747542176,682.8500262249319,449.1985174600102,0.04794706327350908,0.09510324519956659
2,3,1.038857505083808,0.042253379096888186,1.1813896954480087e-06,6.079430132230134e-05,0.029170161222805645,0.0052845041537687475,0.9912588275318289,1.999122219106264e-07,11.813896954480088,261.489184694433,152.65924417188634,0.06404238364000223,0.06522572747275596
3,4,0.08261866216423965,0.0788691579732232,1.0865913910259248e-06,0.0,0.0004022862095514794,3.205905002057412e-05,0.0037174451409958727,2.1103651151713485e-07,10.865913910259248,28.921173340439058,20.47991980397004,0.13538183740300458,0.15944268121621752
4,5,9.040297759796408e-07,8.928574250936437e-07,1.0787334946182973e-06,0.0,0.0,1.117235088599705e-08,0.0,2.394240531612592e-07,10.787334946182973,11.88259773224591,10.50506437448481,0.0001718925172141114,0.2609410187465206
5,6,9.036569983188234e-07,8.925831492248288e-07,1.0787328342027674e-06,0.0,0.0,1.1073849093994633e-08,0.0,2.394232989206938e-07,10.787328342027674,11.881129742867389,10.504306515289924,0.00017179732626994193,0.26094081267185343
6,7,9.032063828578404e-07,8.922908406244065e-07,1.0787317666337877e-06,0.0,0.0,1.091554223343389e-08,0.0,2.3942142583480194e-07,10.787317666337877,11.879488239206186,10.503084846706427,0.00017170629112638787,0.2609409575253068
7,8,9.023086820481741e-07,8.918339170813407e-07,1.0787287526998305e-06,0.0,0.0,1.0474764966833413e-08,0.0,2.3941598970872275e-07,10.787287526998306,11.876163673281535,10.499837664463948,0.00017148862316853364,0.26094183346997757
8,9,9.015346746278195e-07,8.917829381960045e-07,1.078723668010126e-06,0.0,0.0,9.751736431815031e-09,0.0,2.394051272568796e-07,10.787236680101262,11.871746330587793,10.494617982657276,0.0001714801574342147,0.2609457436333844
9,10,9.01146670232918e-07,8.92026721367898e-07,1.0787190683409022e-06,0.0,0.0,9.119948865020021e-09,0.0,2.393988534143675e-07,10.787190683409023,11.869153841810514,10.490665595874908,0.00017121332309667057,0.2609469560518917
10,11,9.009994670048542e-07,8.918984459219826e-07,1.0787189281195854e-06,0.0,0.0,9.101021082871584e-09,0.0,2.3939825809483695e-07,10.787189281195854,11.869679366564243,10.490697246840089,0.00017130099190688786,0.2609470598743546
11,12,9.008027004649e-07,8.918818732665391e-07,1.0787175858312674e-06,0.0,0.0,8.92082719836094e-09,0.0,2.3939575613637474e-07,10.787175858312676,11.870057898200434,10.489864023350043,0.00017144599410914932,0.2609466804693591
12,13,9.005181156039214e-07,8.920130419769519e-07,1.078714436130637e-06,0.0,0.0,8.505073626969578e-09,0.0,2.3939012685563177e-07,10.787144361306371,11.869761033047373,10.487536161422875,0.0001716342512147589,0.2609449999445144
13,14,8.998821091324029e-07,8.924099021284983e-07,1.078706260523047e-06,0.0,0.0,7.472207003904478e-09,0.0,2.393753779279762e-07,10.78706260523047,11.867893205040609,10.481068226118618,0.00017196258089457209,0.26093690747106335
14,1,1.139257487060379e-06,8.924099021284983e-07,1.078706260523047e-06,0.0,0.0,7.472207003904478e-09,0.0,2.393753779279762e-07,10.78706260523047,11.867893205040609,10.481068226118618,0.00017196258089457209,0.26093690747106335
15,2,0.4257004651172343,0.21913369208532055,1.6116232203167508e-06,0.0003459690060448514,0.009282176739155877,0.1420653981749424,0.05487165247503192,1.5766367386869614e-06,16.11623220316751,82.56360070599021,44.984865886182185,0.05808160170496414,0.031087053227456515
16,3,1.15423640185425e-06,9.077287176665864e-07,1.078703381539458e-06,0.0,0.0,7.124403169454897e-09,0.0,2.3938328101820873e-07,10.78703381539458,11.858954452250726,10.479054321205679,0.0001737195334343105,0.2609186504406425
17,4,1.1391410433970284e-06,8.923212268466424e-07,1.078706027931079e-06,0.0,0.0,7.443800302232788e-09,0.0,2.3937601624815325e-07,10.78706027931079,11.867171555382543,10.480905411577815,0.00017183502326429282,0.26093543359585825
18,5,1.1390928260302952e-06,8.922636488980611e-07,1.0787061049072886e-06,0.0,0.0,7.45319549830706e-09,0.0,2.393759816339271e-07,10.787061049072886,11.867143978870212,10.480941813075285,0.00017181967933215168,0.2609346348989819
