
fun_coils_simple#1 - J=2.7e-02, Jf=2.7e-02, ⟨B·n⟩=5.9e-02, C-C-Sep=0.18 Jf=2.7e-02, J_length=9.3e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.0e-37, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 2.5])=9.3, curvature=[0.9, 2.5], mean squared curvature=[0.9, 6.1]
fun_coils_simple#2 - J=2.9e-01, Jf=1.7e-01, ⟨B·n⟩=8.0e-02, C-C-Sep=0.04 Jf=1.7e-01, J_length=1.5e-06, J_CC=5.4e-04, J_CURVATURE=5.8e-03, J_MSC=2.9e-02, J_ALS=2.3e-06, J_LENGTH_PENALTY=8.5e-02 Coil lengths=sum([6.8, 8.1])=14.9, curvature=[0.9, 71.3], mean squared curvature=[0.9, 34.9]
fun_coils_simple#3 - J=2.4e-01, Jf=2.4e-01, ⟨B·n⟩=2.0e-01, C-C-Sep=0.20 Jf=2.4e-01, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=7.0e-05, J_ALS=7.7e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.5])=10.2, curvature=[0.9, 10.3], mean squared curvature=[0.9, 12.2]
fun_coils_simple#4 - J=1.6e-02, Jf=1.6e-02, ⟨B·n⟩=4.2e-02, C-C-Sep=0.20 Jf=1.6e-02, J_length=9.4e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.8e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 2.6])=9.4, curvature=[0.9, 4.0], mean squared curvature=[0.9, 6.2]
fun_coils_simple#5 - J=1.6e-01, Jf=1.6e-01, ⟨B·n⟩=1.8e-01, C-C-Sep=0.18 Jf=1.6e-01, J_length=9.7e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.5e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 2.9])=9.7, curvature=[0.9, 4.5], mean squared curvature=[0.9, 8.8]
fun_coils_simple#6 - J=1.2e-02, Jf=1.2e-02, ⟨B·n⟩=3.7e-02, C-C-Sep=0.20 Jf=1.2e-02, J_length=9.4e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=7.4e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 2.6])=9.4, curvature=[0.9, 4.1], mean squared curvature=[0.9, 6.3]
fun_coils_simple#7 - J=1.0e-02, Jf=1.0e-02, ⟨B·n⟩=3.5e-02, C-C-Sep=0.21 Jf=1.0e-02, J_length=9.5e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.7e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 2.7])=9.5, curvature=[0.9, 3.5], mean squared curvature=[0.9, 6.5]
fun_coils_simple#8 - J=9.1e-03, Jf=9.1e-03, ⟨B·n⟩=3.3e-02, C-C-Sep=0.21 Jf=9.1e-03, J_length=9.5e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.5e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 2.7])=9.5, curvature=[0.9, 3.9], mean squared curvature=[0.9, 6.5]
fun_coils_simple#9 - J=7.4e-03, Jf=7.4e-03, ⟨B·n⟩=2.8e-02, C-C-Sep=0.20 Jf=7.4e-03, J_length=9.5e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=3.0e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 2.7])=9.5, curvature=[0.9, 6.0], mean squared curvature=[0.9, 7.7]
fun_coils_simple#10 - J=5.6e-03, Jf=5.5e-03, ⟨B·n⟩=2.3e-02, C-C-Sep=0.17 Jf=5.5e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=2.0e-07, J_MSC=1.3e-04, J_ALS=9.8e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 2.9])=9.6, curvature=[0.9, 11.4], mean squared curvature=[0.9, 12.6]
fun_coils_simple#11 - J=4.6e-03, Jf=4.6e-03, ⟨B·n⟩=2.1e-02, C-C-Sep=0.17 Jf=4.6e-03, J_length=9.7e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=8.6e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 2.9])=9.7, curvature=[0.9, 9.5], mean squared curvature=[0.9, 10.5]
fun_coils_simple#12 - J=4.1e-03, Jf=4.1e-03, ⟨B·n⟩=2.0e-02, C-C-Sep=0.16 Jf=4.1e-03, J_length=9.8e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=6.0e-06, J_ALS=1.2e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.0])=9.8, curvature=[0.9, 9.8], mean squared curvature=[0.9, 11.3]
fun_coils_simple#13 - J=3.6e-03, Jf=3.6e-03, ⟨B·n⟩=1.8e-02, C-C-Sep=0.17 Jf=3.6e-03, J_length=9.9e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.2e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.1])=9.9, curvature=[0.9, 9.9], mean squared curvature=[0.9, 10.7]
fun_coils_simple#14 - J=2.9e-03, Jf=2.9e-03, ⟨B·n⟩=1.7e-02, C-C-Sep=0.19 Jf=2.9e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.1e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.2])=10.0, curvature=[0.9, 9.7], mean squared curvature=[0.9, 9.6]
fun_coils#1 - J=2.9e-03, Jf=2.9e-03, ⟨B·n⟩=1.7e-02, C-C-Sep=0.19 Jf=2.9e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.1e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.2])=10.0, curvature=[0.9, 9.7], mean squared curvature=[0.9, 9.6]
fun_coils#2 - J=3.9e-01, Jf=1.5e-01, ⟨B·n⟩=4.5e-02, C-C-Sep=0.01 Jf=1.5e-01, J_length=1.6e-06, J_CC=9.1e-04, J_CURVATURE=9.4e-03, J_MSC=7.3e-02, J_ALS=3.0e-06, J_LENGTH_PENALTY=1.6e-01 Coil lengths=sum([6.8, 9.7])=16.5, curvature=[0.9, 75.0], mean squared curvature=[0.9, 49.2]
