index,Nfeval,J,Jf,J_length,J_CC,J_CURVATURE,J_LENGTH_PENALTY,J_MSC,J_ALS,Lengths,curvatures,msc,B.n,C-C-Sep
0,1,0.033783904355250145,0.033783904355250145,9.330530181161687e-07,0.0,0.0,0.0,0.0,1.9736930070080393e-37,9.330530181161688,3.3950617283950635,6.9539704313366855,0.05738382847146448,0.18000000000000005
1,2,0.2598794396916608,0.18247493928413044,1.4520417628958207e-06,0.0,0.0,0.07740450040753034,0.0,1.5982898741312462e-06,14.520417628958207,7.825546184848118,8.092775146069169,0.07458824416734472,0.4355041733318521
2,3,0.20328099931215984,0.20328099931215984,1.0211669643964456e-06,0.0,0.0,0.0,0.0,4.600484554450564e-08,10.211669643964457,5.877207287588992,9.268524294510954,0.07523434586557137,0.23193185007707537
3,4,0.024049699105270668,0.024049699105270668,9.38386338912586e-07,0.0,0.0,0.0,0.0,1.3917615872922847e-10,9.38386338912586,3.8243326922434386,6.900098757488454,0.04529852810899479,0.22797991063340103
4,5,0.015054373449548632,0.015054373449548632,9.523437696629421e-07,0.0,0.0,0.0,0.0,1.977424961330539e-09,9.523437696629422,4.858708269269406,7.492031583123252,0.03834783705101092,0.2700529854909048
5,6,0.014661457300190849,0.014661457300190849,9.484813656453375e-07,0.0,0.0,0.0,0.0,1.1901029485882372e-09,9.484813656453376,5.275581096601519,7.224306865498868,0.03236876475026082,0.2634483357918345
6,7,0.012432568412939136,0.012432568412939136,9.517247503313597e-07,0.0,0.0,0.0,0.0,1.5666462623279725e-09,9.517247503313598,5.204230870231264,7.091381963957618,0.03039079956348375,0.2732290419718281
7,8,0.01094166020589057,0.01094166020589057,9.574013231554926e-07,0.0,0.0,0.0,0.0,2.3900202726038303e-09,9.574013231554925,5.377584398257763,6.932359787643226,0.030806531899823523,0.28173956136327605
8,9,0.009571795901129491,0.009571795901129491,9.626347690320957e-07,0.0,0.0,0.0,0.0,3.4880078960700678e-09,9.626347690320957,6.190608815924077,7.467737847805611,0.028325760438715823,0.2771632167017434
9,10,0.005542442806619791,0.005531501925455256,1.003719734634405e-06,5.402369024348799e-06,0.0,0.0,5.538512140185621e-06,1.071230196997873e-08,10.037197346344051,9.110863323149974,13.190160458426037,0.02079314801799441,0.1216359302825053
10,11,0.005359357699502078,0.004779472542167394,1.02679846687477e-06,2.403614254105165e-05,0.0,0.0,0.0005558490147936319,1.4308647202721918e-08,10.267984668747701,9.561293979629163,16.191552415120302,0.017993022057450212,0.10041948347631376
11,12,0.004497184985462311,0.004327766253719343,1.0142539908527012e-06,1.1951897226044083e-05,0.0,0.0,0.00015746683451692454,1.168672245095216e-08,10.142539908527013,9.295483959373726,14.631975879065768,0.017083286972060154,0.11184934773963537
12,13,0.004032054157495035,0.004030061799751055,1.0144698033094049e-06,1.99235774397934e-06,0.0,0.0,0.0,8.970088522151775e-09,10.144698033094048,7.782013003558576,12.792028864869984,0.016139720644305505,0.1292826117054036
13,14,0.003597654414380635,0.0035915282394712923,1.0228481251791677e-06,6.12617490934241e-06,0.0,0.0,0.0,9.676069542487044e-09,10.228481251791678,7.721043661987597,12.314774946421776,0.015091285892616373,0.11925285442650917
14,15,0.0024441360250753532,0.002409559371997386,1.0559653365734732e-06,3.4576653077967115e-05,0.0,0.0,0.0,1.8684200111533842e-08,10.559653365734734,8.638024015097614,11.392910109614487,0.013275562582794458,0.0888842060123067
15,1,0.0024441547092754648,0.002409559371997386,1.0559653365734732e-06,3.4576653077967115e-05,0.0,0.0,0.0,1.8684200111533842e-08,10.559653365734734,8.638024015097614,11.392910109614487,0.013275562582794458,0.0888842060123067
16,2,1.132906138631227,0.15660345919904956,2.4509240835334282e-06,0.0023993506442418215,0.004264134886867641,0.9693054357623058,0.0003300262009504912,3.7319378116647776e-06,24.509240835334282,52.64040097520645,15.426487321071994,0.17770096186927103,0.0496815850559522
17,3,0.0023121069141044844,0.0023090513789034792,1.0510038079252983e-06,3.033786434372707e-06,0.0,0.0,0.0,2.1748766632066752e-08,10.510038079252983,8.409246357655109,9.70461935967357,0.013095222270702823,0.12303977443752301
18,4,0.002104294038685355,0.0021028748499855297,1.0523122454120658e-06,1.3964767684855605e-06,0.0,0.0,0.0,2.271193133965311e-08,10.523122454120658,9.070771769413646,10.105763871314604,0.01218863168786055,0.12920243349650315
19,5,0.0019516405301034936,0.0019516142311157673,1.0538054299555028e-06,0.0,0.0,0.0,0.0,2.629898772633784e-08,10.538054299555029,10.407935577704388,10.41311504404216,0.010775827559313658,0.15171756185202434
20,6,0.00201318552146569,0.0020131514818873823,1.056876773620884e-06,0.0,0.0,0.0,0.0,3.403957830752994e-08,10.56876773620884,12.475299812440738,11.155045656005441,0.011853521994999415,0.18652935715472102
