
Aspect ratio at max_mode 3: 6.000164613385855
Mean iota at 3: 0.41999630252553016
Quasisymmetry objective at max_mode 3: 0.0002308731908214546
Squared flux at max_mode 3: 0.009807367661565593
fun_coils_simple#1 - J=5.6e-02, Jf=1.6e-02, ⟨B·n⟩=1.3e-02, C-C-Sep=0.10 Jf=1.6e-02, J_length=1.2e-06, J_CC=9.1e-11, J_CURVATURE=1.6e-10, J_MSC=5.8e-09, J_ALS=2.2e-08, J_LENGTH_PENALTY=4.0e-02 Coil lengths=sum([6.0, 6.0])=12.0, curvature=[4.9, 5.0], mean squared curvature=[5.0, 5.0]
fun_coils_simple#2 - J=1.7e+00, Jf=8.9e-01, ⟨B·n⟩=1.1e-01, C-C-Sep=0.02 Jf=8.9e-01, J_length=2.2e-06, J_CC=4.8e-04, J_CURVATURE=3.3e-02, J_MSC=2.6e-01, J_ALS=8.1e-06, J_LENGTH_PENALTY=5.0e-01 Coil lengths=sum([10.3, 11.8])=22.1, curvature=[318.0, 27.4], mean squared curvature=[73.8, 25.9]
fun_coils_simple#3 - J=4.9e-02, Jf=1.3e-02, ⟨B·n⟩=1.2e-02, C-C-Sep=0.12 Jf=1.3e-02, J_length=1.2e-06, J_CC=0.0e+00, J_CURVATURE=3.5e-07, J_MSC=0.0e+00, J_ALS=2.1e-08, J_LENGTH_PENALTY=3.6e-02 Coil lengths=sum([5.9, 5.9])=11.8, curvature=[4.9, 5.3], mean squared curvature=[4.8, 4.7]
fun_coils_simple#4 - J=3.2e-02, Jf=1.0e-02, ⟨B·n⟩=1.0e-02, C-C-Sep=0.08 Jf=1.0e-02, J_length=1.1e-06, J_CC=1.8e-06, J_CURVATURE=9.9e-07, J_MSC=8.3e-06, J_ALS=6.1e-08, J_LENGTH_PENALTY=2.2e-02 Coil lengths=sum([5.5, 5.5])=11.0, curvature=[4.4, 5.7], mean squared curvature=[5.4, 5.0]
fun_coils_simple#5 - J=7.0e-02, Jf=7.6e-03, ⟨B·n⟩=8.3e-03, C-C-Sep=0.06 Jf=7.6e-03, J_length=1.0e-06, J_CC=4.8e-06, J_CURVATURE=6.1e-03, J_MSC=4.9e-02, J_ALS=1.5e-07, J_LENGTH_PENALTY=1.4e-02 Coil lengths=sum([5.2, 5.2])=10.3, curvature=[5.8, 99.3], mean squared curvature=[7.4, 36.1]
fun_coils_simple#6 - J=2.7e-02, Jf=8.9e-03, ⟨B·n⟩=9.4e-03, C-C-Sep=0.07 Jf=8.9e-03, J_length=1.1e-06, J_CC=2.2e-06, J_CURVATURE=9.7e-06, J_MSC=2.8e-05, J_ALS=8.8e-08, J_LENGTH_PENALTY=1.8e-02 Coil lengths=sum([5.4, 5.3])=10.7, curvature=[4.5, 7.2], mean squared curvature=[5.6, 5.4]
fun_coils_simple#7 - J=9.3e+00, Jf=6.0e-03, ⟨B·n⟩=7.3e-03, C-C-Sep=0.10 Jf=6.0e-03, J_length=9.9e-07, J_CC=1.9e-09, J_CURVATURE=1.4e-01, J_MSC=9.3e+00, J_ALS=2.6e-07, J_LENGTH_PENALTY=8.9e-03 Coil lengths=sum([4.8, 5.0])=9.9, curvature=[617.6, 648.1], mean squared curvature=[282.4, 335.3]
fun_coils_simple#8 - J=2.2e-02, Jf=7.9e-03, ⟨B·n⟩=8.6e-03, C-C-Sep=0.08 Jf=7.9e-03, J_length=1.0e-06, J_CC=8.3e-07, J_CURVATURE=1.4e-04, J_MSC=9.9e-05, J_ALS=1.2e-07, J_LENGTH_PENALTY=1.4e-02 Coil lengths=sum([5.2, 5.2])=10.4, curvature=[5.8, 20.4], mean squared curvature=[5.8, 6.2]
fun_coils_simple#9 - J=3.5e+00, Jf=6.8e-03, ⟨B·n⟩=8.1e-03, C-C-Sep=0.10 Jf=6.8e-03, J_length=9.9e-07, J_CC=2.6e-08, J_CURVATURE=7.6e-02, J_MSC=3.5e+00, J_ALS=2.9e-07, J_LENGTH_PENALTY=8.8e-03 Coil lengths=sum([4.8, 5.1])=9.9, curvature=[539.9, 162.2], mean squared curvature=[245.0, 119.3]
fun_coils_simple#10 - J=2.2e-02, Jf=7.9e-03, ⟨B·n⟩=8.6e-03, C-C-Sep=0.08 Jf=7.9e-03, J_length=1.0e-06, J_CC=8.2e-07, J_CURVATURE=1.4e-04, J_MSC=9.9e-05, J_ALS=1.2e-07, J_LENGTH_PENALTY=1.4e-02 Coil lengths=sum([5.2, 5.2])=10.4, curvature=[5.8, 20.3], mean squared curvature=[5.8, 6.2]
fun_coils_simple#11 - J=1.6e-01, Jf=6.8e-03, ⟨B·n⟩=7.6e-03, C-C-Sep=0.09 Jf=6.8e-03, J_length=1.0e-06, J_CC=1.9e-07, J_CURVATURE=1.2e-02, J_MSC=1.4e-01, J_ALS=1.8e-07, J_LENGTH_PENALTY=1.1e-02 Coil lengths=sum([5.0, 5.0])=10.1, curvature=[10.0, 211.8], mean squared curvature=[6.6, 57.4]
