index,Nfeval,J,Jf,J_length,J_CC,J_CURVATURE,J_LENGTH_PENALTY,J_MSC,J_ALS,Lengths,curvatures,msc,B.n,C-C-Sep,Jquasisymmetry,Jiota,Jaspect
0,1,0.044215134290276854,1.5712413739327024e-06,1.8001141846616796e-06,1.309427322658333e-09,0.0,2.208363471958083e-09,6.603664109501614e-08,1.3925531547124566e-07,18.001141846616797,15.751598330370387,20.0568577769729,0.0002608685648718901,0.09833222227476496,0.03100567353272184,1.7872363784177784e-05,0.009642173257843537
1,2,850.0,17.614493590798894,1.8005285940515626e-06,2.0501787846403492e-09,0.0,1.20620019793491e-07,1.8617422090655852e-05,1.3871178690474405e-07,18.005285940515627,17.803525356077827,21.143457030243923,0.11985612162068424,0.09801838320840311,0.0,0.0,0.0
2,3,0.06421757314813428,2.4050224232567696e-05,1.8001138843763047e-06,1.3100965693686537e-09,0.0,2.213525536000393e-09,6.587494420617407e-08,1.3925423666644512e-07,18.001138843763048,15.751418981044374,20.05660002531234,0.0010114244691396003,0.09833185623831417,0.032164201273483586,1.8685033252202075e-06,0.0076076445065827005
3,4,0.04381975838137779,1.8889615666907848e-06,1.8001141478662982e-06,1.3095091016177788e-09,0.0,2.2089771750940214e-09,6.60164487349946e-08,1.3925518355620415e-07,18.001141478662984,15.751576405721782,20.05682609387889,0.00028518531469102804,0.09833217753379045,0.03083915386035266,1.5025700788798915e-05,0.009380282756886129
4,5,0.043208141733812495,2.0265985329487218e-06,1.8001136234153762e-06,1.3046537240622733e-09,0.0,2.1963616712326793e-09,6.575516939029686e-08,1.3925555331334245e-07,18.001136234153762,15.751514813580174,20.056611630270748,0.0002947078590423725,0.09833444766144837,0.030833474306641673,1.1723949397999164e-05,0.008967162216323057
5,6,0.04229049353117667,2.144169318065355e-06,1.800112114883963e-06,1.2954526592182219e-09,0.0,2.143676398282583e-09,6.472199018143764e-08,1.392591696894913e-07,18.00112114883963,15.751214084309492,20.055818994984776,0.00030194110183122435,0.09833861042241558,0.03097126663541466,8.06532445587542e-06,0.008161104843180838
6,7,0.04074796540899836,2.1309056362568775e-06,1.8001103171743045e-06,1.2867038960940777e-09,0.0,2.08626649448717e-09,6.223808919960765e-08,1.3926929308924512e-07,18.001103171743047,15.750626158909496,20.0539977377774,0.0002982245101860862,0.09834229580349547,0.03110924009319462,5.1386257483312916e-06,0.006789076752034469
7,8,0.03890026813174027,2.4529391312957424e-06,1.8001082826394814e-06,1.2707411557685914e-09,0.0,2.0770299858141294e-09,5.731648566719081e-08,1.3928963480086607e-07,18.001082826394814,15.74928534691295,20.050092006031846,0.0003243559521962134,0.09834880802634234,0.0314182487064942,3.299856482955149e-06,0.004499140754045191
8,9,0.03745360819873122,2.8205050690210043e-06,1.8001108945247757e-06,1.2584810652858836e-09,0.0,2.727881480102046e-09,5.055655382013607e-08,1.3932050931281557e-07,18.001108945247758,15.743853859788056,20.04245776769282,0.0003287398976507879,0.09835514256329946,0.03176443240464338,9.737147062161289e-06,0.0017010925931723925
9,10,0.04316719299207493,8.280524140296454e-06,1.8001182649060613e-06,1.242910807988997e-09,0.0,4.622471344751788e-09,4.82063421731693e-08,1.393375288341235e-07,18.001182649060613,15.738524866403607,20.036516431404422,0.0005536500310801088,0.09836532459259328,0.03229689512253229,2.0148965604869203e-05,0.00038146791559903574
10,11,0.037205957266916015,2.7398708801720985e-06,1.8001121133415664e-06,1.2558362227056408e-09,0.0,2.996739295295528e-09,5.006488922842722e-08,1.39323395942298e-07,18.001121133415666,15.74295129476607,20.04144304183084,0.0003250137335266566,0.0983568657372013,0.031738083400465696,1.1238310043776112e-05,0.0014105311212117904
11,12,0.037230744540654,2.838835142511758e-06,1.8001148685605525e-06,1.2501164914091838e-09,0.0,3.861607894642971e-09,5.1248957327627593e-08,1.3932081292641427e-07,18.001148685605525,15.743002513234831,20.04107256984112,0.00033158178219980906,0.09836140677385692,0.031877700588919436,1.1437211956069575e-05,0.0011748061189757121
12,13,0.037086720597122584,2.670859940968334e-06,1.800113419285867e-06,1.2531090662460526e-09,0.0,3.38694404537483e-09,5.0619118148873944e-08,1.3932216576388525e-07,18.00113419285867,15.74297569542398,20.041264663346293,0.0003217184183816308,0.09835902875036986,0.031792523528801686,1.1332471054401229e-05,0.0012955086848878482
13,14,0.03692746144313673,2.5800681458180822e-06,1.8001156521723928e-06,1.2460600680760193e-09,0.0,4.029159062983087e-09,5.164370532525491e-08,1.3932000737344278e-07,18.001156521723928,15.743033025154437,20.04135279537748,0.0003194800285311967,0.09836370935819762,0.03188219710596459,1.0648343358025328e-05,0.0012041229237217826
14,15,0.03722960656074699,3.000807442505405e-06,1.800121949574398e-06,1.2119833897818706e-09,0.0,5.6356772108530915e-09,5.375970281816172e-08,1.3932271068286784e-07,18.00121949574398,15.741842469817305,20.041491267590544,0.000345119081946466,0.0983824482484724,0.03204067078683428,8.147075449364423e-06,0.0011734907123692852
