
Aspect ratio at max_mode 3: 5.999999836943246
Mean iota at 3: 0.41999659049473215
Quasisymmetry objective at max_mode 3: 2.167484344763954e-05
Squared flux at max_mode 3: 0.06422646722819887
fun_coils_simple#1 - J=5.9e-02, Jf=5.9e-02, ⟨B·n⟩=2.0e-02, C-C-Sep=0.17 Jf=5.9e-02, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.8e-07, J_ALS=2.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.0, curvature=[3.2, 4.5, 4.7], mean squared curvature=[3.9, 5.0, 5.1]
fun_coils_simple#2 - J=2.7e+00, Jf=1.2e+00, ⟨B·n⟩=1.0e-01, C-C-Sep=0.02 Jf=1.2e+00, J_length=2.0e-06, J_CC=7.3e-05, J_CURVATURE=6.1e-02, J_MSC=1.4e+00, J_ALS=2.4e-06, J_LENGTH_PENALTY=4.0e-02 Coil lengths=sum([6.9, 6.7, 6.2])=19.8, curvature=[154.1, 82.1, 64.8], mean squared curvature=[166.6, 48.3, 23.5]
fun_coils_simple#3 - J=2.5e-02, Jf=2.5e-02, ⟨B·n⟩=1.3e-02, C-C-Sep=0.19 Jf=2.5e-02, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=2.4e-05, J_MSC=1.8e-05, J_ALS=2.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.1, curvature=[9.2, 5.8, 5.0], mean squared curvature=[5.5, 5.2, 5.2]
fun_coils_simple#4 - J=9.2e+00, Jf=6.8e-03, ⟨B·n⟩=7.0e-03, C-C-Sep=0.09 Jf=6.8e-03, J_length=1.5e-06, J_CC=3.5e-07, J_CURVATURE=1.0e-01, J_MSC=9.2e+00, J_ALS=3.0e-07, J_LENGTH_PENALTY=7.2e-05 Coil lengths=sum([5.1, 4.8, 4.8])=14.7, curvature=[651.4, 12.2, 5.7], mean squared curvature=[434.1, 9.3, 5.8]
fun_coils_simple#5 - J=2.9e-02, Jf=1.2e-02, ⟨B·n⟩=9.0e-03, C-C-Sep=0.16 Jf=1.2e-02, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=2.2e-03, J_MSC=1.7e-02, J_ALS=3.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.1, curvature=[39.3, 5.4, 5.2], mean squared curvature=[23.4, 5.4, 5.3]
fun_coils_simple#6 - J=1.8e-02, Jf=1.8e-02, ⟨B·n⟩=1.1e-02, C-C-Sep=0.18 Jf=1.8e-02, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=7.6e-05, J_MSC=2.1e-04, J_ALS=2.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.1, curvature=[12.8, 5.6, 5.1], mean squared curvature=[7.0, 5.2, 5.2]
fun_coils_simple#7 - J=8.3e-03, Jf=6.1e-03, ⟨B·n⟩=6.8e-03, C-C-Sep=0.11 Jf=6.1e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=4.1e-04, J_MSC=2.2e-03, J_ALS=3.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.8, 4.8])=14.3, curvature=[17.3, 7.9, 5.9], mean squared curvature=[11.4, 6.6, 5.7]
fun_coils_simple#8 - J=8.8e-03, Jf=4.3e-03, ⟨B·n⟩=5.8e-03, C-C-Sep=0.12 Jf=4.3e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=7.4e-04, J_MSC=4.5e-03, J_ALS=3.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.2, curvature=[16.9, 4.6, 5.7], mean squared curvature=[14.4, 5.9, 5.6]
fun_coils_simple#9 - J=5.1e-03, Jf=5.0e-03, ⟨B·n⟩=6.3e-03, C-C-Sep=0.12 Jf=5.0e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=7.3e-06, J_MSC=9.4e-05, J_ALS=3.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.8, 4.7])=14.2, curvature=[6.5, 6.1, 5.8], mean squared curvature=[5.2, 6.2, 5.7]
fun_coils_simple#10 - J=4.2e-03, Jf=4.1e-03, ⟨B·n⟩=5.9e-03, C-C-Sep=0.14 Jf=4.1e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=1.1e-06, J_MSC=2.8e-05, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.2, curvature=[4.5, 5.2, 5.6], mean squared curvature=[4.6, 5.6, 5.5]
fun_coils_simple#11 - J=3.6e-03, Jf=3.4e-03, ⟨B·n⟩=5.3e-03, C-C-Sep=0.13 Jf=3.4e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=5.5e-05, J_MSC=2.8e-04, J_ALS=3.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.2, curvature=[4.8, 9.6, 5.6], mean squared curvature=[4.4, 7.3, 5.4]
fun_coils_simple#12 - J=3.4e-03, Jf=3.3e-03, ⟨B·n⟩=5.2e-03, C-C-Sep=0.13 Jf=3.3e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=8.5e-06, J_MSC=4.5e-05, J_ALS=3.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.2, curvature=[5.0, 7.6, 5.6], mean squared curvature=[4.5, 5.8, 5.4]
fun_coils_simple#13 - J=3.2e-03, Jf=3.2e-03, ⟨B·n⟩=5.1e-03, C-C-Sep=0.13 Jf=3.2e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=1.2e-06, J_MSC=1.5e-05, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.2, curvature=[4.8, 5.7, 5.5], mean squared curvature=[4.4, 5.4, 5.4]
fun_coils_simple#14 - J=2.7e-03, Jf=2.7e-03, ⟨B·n⟩=4.7e-03, C-C-Sep=0.14 Jf=2.7e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=3.1e-06, J_MSC=2.6e-05, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.2, curvature=[4.3, 6.2, 5.4], mean squared curvature=[4.4, 5.5, 5.5]
fun_coils_simple#15 - J=5.5e-02, Jf=1.8e-03, ⟨B·n⟩=3.5e-03, C-C-Sep=0.10 Jf=1.8e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=4.1e-03, J_MSC=5.3e-02, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.8, 4.7])=14.3, curvature=[12.9, 53.6, 5.6], mean squared curvature=[6.3, 37.5, 6.3]
fun_coils_simple#16 - J=2.2e-03, Jf=2.1e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.13 Jf=2.1e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=4.9e-06, J_MSC=7.2e-05, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.2, curvature=[4.1, 7.0, 5.3], mean squared curvature=[4.4, 6.1, 5.4]
fun_coils#1 - J=2.2e-03, Jf=2.1e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.13 Jf=2.1e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=4.9e-06, J_MSC=7.2e-05, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.2, curvature=[4.1, 7.0, 5.3], mean squared curvature=[4.4, 6.1, 5.4]
fun_coils#2 - J=1.2e+01, Jf=1.3e+00, ⟨B·n⟩=1.3e-01, C-C-Sep=0.05 Jf=1.3e+00, J_length=5.8e-06, J_CC=1.4e-04, J_CURVATURE=6.5e-02, J_MSC=1.5e+00, J_ALS=8.0e-05, J_LENGTH_PENALTY=8.9e+00 Coil lengths=sum([4.9, 47.3, 6.3])=58.4, curvature=[19.7, 47.2, 130.0], mean squared curvature=[12.3, 21.4, 174.7]
fun_coils#3 - J=8.0e-03, Jf=2.1e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.13 Jf=2.1e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=9.0e-04, J_MSC=5.1e-03, J_ALS=3.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.2, curvature=[4.1, 22.1, 5.2], mean squared curvature=[4.4, 15.1, 5.2]
fun_coils#4 - J=2.1e-03, Jf=2.1e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.13 Jf=2.1e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=1.9e-07, J_MSC=7.0e-06, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.2, curvature=[4.1, 4.9, 5.3], mean squared curvature=[4.4, 5.2, 5.3]
fun_coils#5 - J=2.1e-03, Jf=2.1e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.13 Jf=2.1e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=1.7e-07, J_MSC=5.6e-06, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.2, curvature=[4.1, 4.9, 5.3], mean squared curvature=[4.4, 5.2, 5.3]
fun_coils#6 - J=2.1e-03, Jf=2.0e-03, ⟨B·n⟩=4.0e-03, C-C-Sep=0.13 Jf=2.0e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=1.0e-07, J_MSC=2.7e-06, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.2, curvature=[4.0, 4.8, 5.2], mean squared curvature=[4.4, 5.1, 5.2]
fun_coils#7 - J=1.9e-03, Jf=1.8e-03, ⟨B·n⟩=3.8e-03, C-C-Sep=0.13 Jf=1.8e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=1.9e-06, J_MSC=2.8e-05, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.2, curvature=[4.0, 6.3, 5.0], mean squared curvature=[4.5, 5.6, 5.4]
fun_coils#8 - J=1.8e-03, Jf=1.5e-03, ⟨B·n⟩=3.4e-03, C-C-Sep=0.13 Jf=1.5e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=1.6e-05, J_MSC=3.1e-04, J_ALS=3.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.2, curvature=[4.3, 6.3, 8.0], mean squared curvature=[4.6, 6.6, 6.9]
fun_coils#9 - J=1.7e-03, Jf=1.6e-03, ⟨B·n⟩=3.6e-03, C-C-Sep=0.13 Jf=1.6e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=1.6e-06, J_MSC=7.6e-05, J_ALS=3.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.2, curvature=[4.1, 6.2, 5.4], mean squared curvature=[4.5, 5.9, 5.9]
fun_coils#10 - J=1.4e-03, Jf=1.3e-03, ⟨B·n⟩=3.2e-03, C-C-Sep=0.13 Jf=1.3e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=5.1e-06, J_MSC=1.5e-04, J_ALS=3.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.2, curvature=[4.5, 6.6, 5.5], mean squared curvature=[4.7, 6.4, 6.0]
fun_coils#11 - J=1.1e-03, Jf=1.0e-03, ⟨B·n⟩=2.8e-03, C-C-Sep=0.13 Jf=1.0e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=4.6e-07, J_MSC=7.2e-05, J_ALS=3.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.7, 4.7])=14.2, curvature=[5.0, 5.5, 5.4], mean squared curvature=[4.9, 5.9, 5.8]
fun_coils#12 - J=9.1e-04, Jf=8.4e-04, ⟨B·n⟩=2.5e-03, C-C-Sep=0.13 Jf=8.4e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=1.3e-06, J_MSC=6.6e-05, J_ALS=3.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.7, 4.7])=14.2, curvature=[6.2, 5.1, 5.4], mean squared curvature=[5.1, 6.0, 5.6]
fun_coils#13 - J=7.4e-04, Jf=7.0e-04, ⟨B·n⟩=2.3e-03, C-C-Sep=0.12 Jf=7.0e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=3.6e-07, J_MSC=3.9e-05, J_ALS=3.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.7, 4.7])=14.2, curvature=[5.1, 5.3, 5.3], mean squared curvature=[5.0, 5.8, 5.4]
fun_coils#14 - J=6.6e-04, Jf=6.5e-04, ⟨B·n⟩=2.2e-03, C-C-Sep=0.12 Jf=6.5e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=2.5e-07, J_MSC=7.8e-06, J_ALS=3.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.7, 4.7])=14.2, curvature=[4.9, 5.3, 5.2], mean squared curvature=[5.0, 5.3, 5.2]
fun_coils#15 - J=6.1e-04, Jf=6.1e-04, ⟨B·n⟩=2.1e-03, C-C-Sep=0.12 Jf=6.1e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=3.8e-07, J_MSC=7.1e-06, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.7, 4.7])=14.2, curvature=[4.9, 5.4, 5.1], mean squared curvature=[5.1, 5.3, 5.2]
fun_coils#16 - J=5.9e-04, Jf=5.0e-04, ⟨B·n⟩=1.9e-03, C-C-Sep=0.12 Jf=5.0e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=1.4e-05, J_MSC=7.2e-05, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.7, 4.8])=14.2, curvature=[8.3, 4.5, 5.0], mean squared curvature=[6.1, 5.2, 5.4]
fun_coils#17 - J=5.7e-04, Jf=5.7e-04, ⟨B·n⟩=2.0e-03, C-C-Sep=0.12 Jf=5.7e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=3.0e-08, J_MSC=3.8e-06, J_ALS=3.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.7, 4.7])=14.2, curvature=[3.9, 5.1, 5.0], mean squared curvature=[4.8, 5.1, 5.2]
