index,Nfeval,J,Jf,J_length,J_CC,J_CURVATURE,J_LENGTH_PENALTY,J_MSC,J_ALS,Lengths,curvatures,msc,B.n,C-C-Sep,Jquasisymmetry,Jiota,Jaspect
0,1,2.923510556685305,1.4320312488191923e-06,1.3952563507080847e-06,2.386562259932767e-09,0.0,1.603277203014287e-09,1.7462317850417337e-11,2.5536488126665153e-07,13.952563507080846,42.44747368244817,78.93591825345702,0.00030556496325477876,0.057757674224817084,2.9176703384993674,2.088029049901972,0.004148814754035572
1,2,850.0,9.422569088781687,1.3951630239515736e-06,2.383885891680776e-09,0.0,1.0274271444202928e-09,5.15369090175555e-08,2.553903498994863e-07,13.951630239515737,40.91436196514542,77.85628398316732,0.129344508304582,0.05779739477102728,0.0,0.0,0.0
2,3,850.0,0.07128307485372379,1.3952496222626156e-06,2.386347824958232e-09,0.0,1.5285015310397475e-09,4.234688081810336e-11,2.553669587704375e-07,13.952496222626156,42.32640961284979,78.85590247530837,0.07293040643413613,0.05776008314106866,0.0,0.0,0.0
3,4,2.824598555956186,2.84112601627843e-06,1.3952563205081977e-06,2.3865612923689847e-09,0.0,1.6028346282278982e-09,2.680960553657047e-12,2.553648906482142e-07,13.952563205081978,42.44693486291581,78.93555862823364,0.0004610929179221962,0.05775768492776768,2.8177819969631663,2.0867240550131965,0.0037160760092034848
4,5,1.9931788503189423,0.0004483724931534804,1.3952558199499213e-06,2.3865452617226927e-09,0.0,1.5956394092807951e-09,0.0,2.5536504607283553e-07,13.952558199499213,42.437998121127855,78.9295985175149,0.0060348873306114515,0.05775786246820762,1.5445373915008378,2.0643323453297024,9.618433887158768e-06
5,6,5.662674395681615,0.0033015087430995115,1.3968748017212313e-06,9.066056547210718e-10,0.0,0.0,1.9135692596552256e-05,2.5341909714771906e-07,13.968748017212313,43.99080505462618,79.32957833917143,0.015831620082342686,0.05822038872506915,2.292189717845483,2.1698485411290016,0.049585916437275133
6,7,1.8589410263801254,0.0005279279959183017,1.3954301384329927e-06,1.6812220033456866e-09,0.0,0.0,1.836640985922385e-07,2.5502659366983376e-07,13.954301384329927,42.62164490281155,78.9000627035555,0.006426938219265271,0.05781445706707326,1.3288621061327288,2.0816252685090615,0.0017105524148314506
7,8,1.6920406055878139,0.0005124085834612732,1.395656255191286e-06,1.2698252825421485e-09,0.0,0.0,1.0818194524532081e-08,2.5474033395992926e-07,13.95656255191286,42.81009101312765,77.98587760664512,0.006893461543729945,0.057840482680932385,1.1722396053313602,2.103932159343498,0.007125588441423587
8,9,1.538070627651117,0.0005324165159419323,1.3975537466152459e-06,1.8797197492926006e-09,0.0,2.0164065723039356e-08,7.909697657368664e-07,2.5716171280120695e-07,13.97553746615246,43.42467179776854,78.89735073452765,0.0069120591990893656,0.057659481243790445,0.9699910203186374,2.131903649411934,0.03459291612653545
9,10,1.4793241171679608,0.0005082641926131874,1.3997582628550907e-06,6.925229700564213e-09,0.0,3.352492251102518e-06,5.344498415343456e-05,2.594231737711463e-07,13.997582628550909,41.661558828711335,79.7177136876825,0.0066162250415509995,0.05491627351799719,0.8318137710930856,2.1608369258928306,0.08218232865368644
10,11,1.5205406778719626,0.0005547913051365543,1.4007026246949687e-06,1.3871040542214488e-08,0.0,6.3734897404161275e-06,6.539276993779256e-05,2.6029187936063926e-07,14.007026246949687,44.176480812796036,80.62535335344285,0.006965299807149918,0.05275848687095047,0.7877007282512202,2.1720430390676437,0.10600822188606102
11,12,1.4496867241137745,0.0005243950014084666,1.4001387966523368e-06,9.385559777263969e-09,0.0,4.494837748248007e-06,1.6218417224986788e-05,2.597932232669993e-07,14.001387966523367,42.71144521852339,79.84569761077883,0.006747065220317116,0.05399133358983583,0.8123303239731161,2.16562684305072,0.09197896497591025
