index,Nfeval,J,Jf,J_length,J_CC,J_CURVATURE,J_LENGTH_PENALTY,J_MSC,J_ALS,Lengths,curvatures,msc,B.n,C-C-Sep,Jquasisymmetry,Jiota,Jaspect
0,1,0.05795142614908847,9.78277065469331e-06,3.6002492950190706e-06,0.0,0.0,3.954721787670815e-09,6.29865497775576e-09,1.3196539142196083e-06,36.00249295019071,61.515100720032954,73.03270308964281,0.00037700025938148114,0.1405373923877928,0.4104772150015473,0.020257280361345907,6.0839304472453e-07
1,2,850.0,9.131537377884937,3.597371228743433e-06,0.0,0.0,4.179727921436202e-06,0.00012877002479232035,1.322080230258938e-06,35.97371228743433,50.69427034057598,66.27113033349727,0.050084672571017716,0.1423676490357971,0.0,0.0,0.0
2,3,4.139821095768352,0.0008255276735901016,3.6002163033465214e-06,0.0,0.0,3.188648349442685e-09,8.026011313435268e-09,1.3196697763949421e-06,36.002163033465216,61.42524887910283,72.94639608513523,0.0026633942724694653,0.14055118110397286,0.3816655318840965,0.020662127154820936,1.3573521036967608e-05
3,4,0.05393093086909953,8.975952235396887e-06,3.6002483137125666e-06,0.0,0.0,3.918570603321865e-09,6.298133523317309e-09,1.319654384422575e-06,36.002483137125665,61.512434421346995,73.03013507483243,0.00036679972794158896,0.14053780144075426,0.4081314286228862,0.02022070901415765,4.6383513552926434e-07
4,5,0.054384988683007576,9.052356499341135e-06,3.6002319354608687e-06,0.0,0.0,3.5045361420031826e-09,5.185438246105123e-09,1.3196791513871545e-06,36.00231935460869,61.49612964022175,73.01393401584725,0.000367593292481289,0.14053886628268905,0.4069208583689145,0.02017362481741255,1.3943861230858621e-06
5,6,0.05200658795260647,8.58506555943514e-06,3.6002405556392864e-06,0.0,0.0,3.6956266987678576e-09,5.751677144359209e-09,1.319666112072198e-06,36.002405556392866,61.50471253599595,73.02246036985315,0.0003599449719299206,0.14053830572184148,0.4074522026089218,0.020197204153346027,8.325264975624746e-07
6,7,0.05254757792007576,8.69267110779192e-06,3.6002044951176857e-06,0.0,0.0,2.8311657538450467e-09,3.864174244757388e-09,1.3196728061321006e-06,36.002044951176856,61.48327978423093,72.99832060387465,0.0003618690455815622,0.14052787570176917,0.40496137585608105,0.020156188540772058,6.54348304356236e-06
7,8,0.05115482283435325,8.414905096325474e-06,3.6002247255516692e-06,0.0,0.0,3.2738751540389736e-09,4.869448220463521e-09,1.3196690452851508e-06,36.00224725551669,61.49530719382658,73.01186162482472,0.0003572864650935449,0.1405337280307281,0.40628904751230277,0.020179322235127892,2.6551109966691966e-06
8,9,0.050609590463046576,8.307499300115193e-06,3.6002009127806787e-06,0.0,0.0,2.7455742777969175e-09,3.4690785731202037e-09,1.3196810304748357e-06,36.00200912780679,61.47709609435132,72.99225299880248,0.0003569900243300129,0.14052456360012253,0.4056004308433903,0.020159825564604533,9.456269738490191e-06
9,10,0.05003791366584272,8.197274424482997e-06,3.6001831257207894e-06,0.0,0.0,2.437362279803036e-09,2.5181130473436383e-09,1.3196998219440154e-06,36.0018312572079,61.45709864589038,72.97090036149504,0.0003564323513287758,0.14051803639106134,0.4067751878696972,0.020172728902019238,2.0591634175827595e-05
10,11,0.049671319695149284,8.118599192099816e-06,3.6001604776009046e-06,0.0,0.0,2.1453561593854656e-09,1.4267564296792445e-09,1.3197325909540466e-06,36.001604776009046,61.431977793590875,72.94067868251392,0.00035668660330804864,0.14050873831573676,0.40753285811596807,0.020166959756317854,4.074796071065983e-05
11,12,0.04934446705967109,8.04881667126871e-06,3.600140705591063e-06,0.0,0.0,1.9123522859182983e-09,6.643813686861713e-10,1.3197716589420357e-06,36.00140705591063,61.407607719770525,72.91023693146356,0.0003547235327680013,0.14050131297193388,0.4078779205666687,0.020184178364166,7.219077222008838e-05
12,13,0.04910566422952884,7.988474644969006e-06,3.6001257076679073e-06,0.0,0.0,1.8004550310779094e-09,2.8949739073680667e-10,1.3198294163802596e-06,36.001257076679074,61.38034635314189,72.87642184031094,0.0003536127833002773,0.14050064020180517,0.4085276440078585,0.020209519748978458,0.0001136633922740592
13,14,0.04888534281039439,7.942829688645098e-06,3.6001167137838536e-06,0.0,0.0,1.8026648056689104e-09,1.97009161611068e-10,1.3198898475197392e-06,36.001167137838536,61.35335843302097,72.84609458463848,0.00035140162032954234,0.14051163029159047,0.4073111455168147,0.02024456398180386,0.00014176832625267566
14,15,0.048669279197270945,7.893236846241718e-06,3.600108656477672e-06,0.0,0.0,1.8361068110335314e-09,1.9176137701382814e-10,1.3199516576207773e-06,36.00108656477672,61.32473058711183,72.8148565834743,0.00035088519448545557,0.14052835112457704,0.40748346120113027,0.020288067835662036,0.0001640911124125937
15,16,0.04841421270690762,7.833379024665856e-06,3.6000986521993156e-06,0.0,0.0,1.723899738409164e-09,2.6345764788504643e-10,1.3200056388673687e-06,36.000986521993156,61.29028100411532,72.77943644782802,0.0003508852450452045,0.14054984332836296,0.40757968748540974,0.02030240891329217,0.00019450352740399743
16,17,0.04813116758680444,7.77314324924063e-06,3.600092990958392e-06,0.0,0.0,1.6232473506029947e-09,2.9002816051702113e-10,1.3200627935339358e-06,36.000929909583924,61.24179922518981,72.73254596819837,0.00034945316508216723,0.14056344235483312,0.4069457756865544,0.020285609790989322,0.00022733804193967618
17,18,0.04781306669304347,7.698846284878172e-06,3.6000879386101743e-06,0.0,0.0,1.5589033862567778e-09,1.8626473524320445e-10,1.320115946027034e-06,36.000879386101744,61.186854545364284,72.676470085164,0.00034805215748242565,0.14055972353134555,0.4074372138236212,0.020259433872792904,0.0002511956967421342
18,19,0.0475922184442018,7.658460232943315e-06,3.600096924405409e-06,0.0,0.0,1.885600211617369e-09,2.2606697537826591e-10,1.3202039284357389e-06,36.00096924405409,61.1188180191287,72.61047597024424,0.0003467780232030606,0.14055175540587617,0.40604938586878614,0.020238688345409275,0.00025841944814091833
19,20,0.04749123681229542,7.638249976615063e-06,3.6001078675810793e-06,0.0,0.0,2.3288272738447567e-09,3.633601180500478e-10,1.32027868583467e-06,36.001078675810795,61.06696600246787,72.56333506479956,0.00034663119026058454,0.14055181068430736,0.40668889032535327,0.02027977413191937,0.0002479071584060029
20,21,0.0474184094710226,7.623957063451198e-06,3.6001127025482503e-06,0.0,0.0,2.4805733914125873e-09,4.97476505017614e-10,1.3203018812243704e-06,36.0011270254825,61.04086374406039,72.53976832978097,0.0003460315816743724,0.14055693496270094,0.4074620532027002,0.020309824110784015,0.00022392517096448767
21,22,0.047324380868447605,7.607463500658537e-06,3.6001121391625123e-06,0.0,0.0,2.3925342007076087e-09,6.110815046803143e-10,1.3203016888658092e-06,36.00112139162513,61.02059203065741,72.52051474843726,0.00034560040574606825,0.1405717345998951,0.4073325121624812,0.020316338860286068,0.0002097456483008441
22,23,0.04723122363543264,7.586161464407314e-06,3.6001052358781378e-06,0.0,0.0,2.002500393173651e-09,7.590237503760699e-10,1.3202825000378443e-06,36.00105235878138,60.98975349579821,72.49155245690085,0.0003449319101211901,0.1406121070822016,0.407483965360278,0.0202953495677527,0.000215752365042255
23,24,0.0471043701188321,7.5593300755166136e-06,3.600097233427914e-06,0.0,0.0,1.6956900698803567e-09,8.655646617858391e-10,1.3202664170937692e-06,36.00097233427914,60.953841557608285,72.45765730827254,0.0003446080267375586,0.14065935145241437,0.407349066725344,0.020293360928774477,0.00022832636090623772
24,25,0.04695251861346631,7.521803916819764e-06,3.6000873708325357e-06,0.0,0.0,1.4863068150296199e-09,1.1046095960358147e-09,1.3202442744440909e-06,36.00087370832536,60.899493160879835,72.40685507669264,0.0003438257453539956,0.14072171633867261,0.4075518620348402,0.0203308865796402,0.00023979349569981553
25,26,0.04674671331037535,7.479365732502088e-06,3.6000801168178403e-06,0.0,0.0,1.426846674198594e-09,1.436050670087888e-09,1.3202165650644098e-06,36.000801168178405,60.827509773474915,72.33815796269772,0.0003428313418330788,0.14079394253350314,0.40686522277331,0.020422146292685652,0.00026006860678794646
