
Aspect ratio at max_mode 3: 7.000779660989392
Mean iota at 3: 0.46887205235890034
Squared flux at max_mode 3: 0.0010222385615171338
fun_coils_simple#1 - J=7.2e-03, Jf=1.0e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.20 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=3.4e-05, J_MSC=6.1e-03, J_ALS=9.6e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.5, 7.3, 14.0, 13.3, 16.1], mean squared curvature=[14.6, 7.8, 5.9, 5.8, 10.5, 15.4, 15.9, 16.1]
fun_coils_simple#2 - J=2.3e+01, Jf=5.7e-01, ⟨B·n⟩=1.9e-01, C-C-Sep=0.02 Jf=5.7e-01, J_length=1.1e-05, J_CC=1.0e-02, J_CURVATURE=2.4e-01, J_MSC=1.4e+01, J_ALS=7.4e-04, J_LENGTH_PENALTY=8.9e+00 Coil lengths=sum([3.9, 3.0, 3.0, 3.0, 3.7, 23.5, 28.6, 37.0])=105.7, curvature=[80.3, 5.3, 3.6, 4.4, 283.6, 176.1, 247.6, 95.0], mean squared curvature=[231.1, 7.8, 5.9, 5.8, 474.6, 99.6, 72.2, 40.3]
fun_coils_simple#3 - J=5.5e+01, Jf=1.3e-03, ⟨B·n⟩=4.5e-03, C-C-Sep=0.19 Jf=1.3e-03, J_length=3.0e-06, J_CC=0.0e+00, J_CURVATURE=3.0e-01, J_MSC=5.5e+01, J_ALS=9.0e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 4.2, 4.9, 5.4])=29.6, curvature=[9.0, 5.3, 3.6, 4.5, 15.6, 144.6, 183.2, 640.6], mean squared curvature=[17.1, 7.8, 5.9, 5.8, 13.9, 453.9, 351.3, 894.4]
fun_coils_simple#4 - J=1.8e-01, Jf=1.0e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=5.2e-03, J_MSC=1.8e-01, J_ALS=9.5e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.5, 7.0, 17.6, 19.8, 116.6], mean squared curvature=[14.5, 7.8, 5.9, 5.8, 10.0, 12.7, 18.6, 68.5]
fun_coils_simple#5 - J=5.6e-03, Jf=1.0e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.20 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=3.0e-05, J_MSC=4.5e-03, J_ALS=9.6e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.5, 7.3, 13.6, 10.9, 18.8], mean squared curvature=[14.6, 7.8, 5.9, 5.8, 10.4, 14.5, 14.5, 15.4]
fun_coils_simple#6 - J=4.1e-03, Jf=1.0e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.20 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.0e-05, J_MSC=3.1e-03, J_ALS=9.6e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.5, 7.2, 13.0, 8.5, 13.4], mean squared curvature=[14.6, 7.8, 5.9, 5.8, 10.3, 13.4, 13.3, 14.2]
fun_coils_simple#7 - J=3.7e-03, Jf=1.0e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.20 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=5.9e-06, J_MSC=2.6e-03, J_ALS=9.6e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.5, 7.2, 12.5, 8.7, 12.5], mean squared curvature=[14.5, 7.8, 5.9, 5.8, 10.3, 12.8, 12.9, 14.0]
fun_coils_simple#8 - J=3.2e-03, Jf=1.0e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.20 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=9.6e-07, J_MSC=2.2e-03, J_ALS=9.6e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.5, 7.1, 11.5, 10.2, 10.6], mean squared curvature=[14.5, 7.8, 5.9, 5.8, 10.1, 11.9, 12.5, 13.8]
fun_coils_simple#9 - J=2.9e-03, Jf=1.0e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.20 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=3.7e-07, J_MSC=1.9e-03, J_ALS=9.6e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.5, 7.0, 10.5, 10.8, 8.1], mean squared curvature=[14.4, 7.8, 5.9, 5.8, 10.0, 11.3, 12.4, 13.2]
fun_coils_simple#10 - J=2.7e-03, Jf=1.0e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.20 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=3.7e-07, J_MSC=1.7e-03, J_ALS=9.6e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.5, 7.0, 10.5, 10.8, 7.8], mean squared curvature=[14.3, 7.8, 5.9, 5.8, 9.9, 10.9, 12.3, 13.1]
fun_coils_simple#11 - J=2.7e-03, Jf=1.0e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.5e-05, J_MSC=1.7e-03, J_ALS=9.6e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.1, 5.3, 3.6, 4.5, 6.9, 11.0, 10.2, 21.8], mean squared curvature=[14.1, 7.8, 5.9, 5.8, 9.7, 10.2, 12.1, 13.5]
