index,Nfeval,J,Jf,J_length,J_CC,J_CURVATURE,J_LENGTH_PENALTY,J_MSC,J_ALS,Lengths,curvatures,msc,B.n,C-C-Sep,Jquasisymmetry,Jiota,Jaspect
0,1,0.006800964189565991,8.503790582673119e-07,4.68224048608824e-06,2.9202411489757314e-10,0.0,1.8208267281128034e-10,1.9809113105007188e-10,4.134662718301266e-08,46.8224048608824,55.312605735759064,79.97174208849196,0.00011141275173855882,0.11936231786462871,0.41062817159023557,0.019917097605388963,6.078712583793233e-07
1,2,850.0,12.951461425641549,4.615948758572261e-06,4.2699322486490115e-06,1.7593926017930778e-06,3.663510773043965e-05,0.00020673382407203355,3.3018558968505416e-07,46.15948758572261,63.83355642556407,78.08031037786702,0.08846503409634465,0.09769934231569728,0.0,0.0,0.0
2,3,0.01803171669784352,3.087643021422584e-06,4.6821927266164095e-06,2.887410076410894e-10,0.0,6.033669547880494e-12,1.638288529573269e-10,4.132303803560771e-08,46.821927266164096,55.31349782726192,79.96667816091346,0.00022373685051478142,0.11936804741173224,0.40771282300788886,0.019642985208388544,2.0202145567526426e-06
3,4,0.006746618571466146,8.393141352294554e-07,4.6822373244378924e-06,2.9180278542340213e-10,0.0,1.5108914669825369e-10,1.9372364490807318e-10,4.134505879452131e-08,46.82237324437892,55.31266479473327,79.97140676885374,0.00011116750291094252,0.11936269710617366,0.4104241610096604,0.01989820732443636,6.714235185541822e-07
4,5,0.006714440540272306,8.327312754411048e-07,4.682229414463778e-06,2.9159749483921596e-10,0.0,8.869346129192551e-11,1.8946132847315036e-10,4.134051915401958e-08,46.82229414463778,55.312848217326845,79.97073607081887,0.0001105977145293211,0.11936394249271079,0.41031441496040827,0.019867307058962815,9.770911221007765e-07
5,6,0.006683933451326467,8.267400933608243e-07,4.68222196937835e-06,2.9131914218999555e-10,0.0,4.744439586414262e-11,1.9039097871124012e-10,4.1335902565807066e-08,46.8222196937835,55.31295546941706,79.97017710260045,0.00011038376968075751,0.11936536382887933,0.41053865769160003,0.019853336909463108,1.4126248614861733e-06
6,7,0.006658867234565838,8.216654912146519e-07,4.6822137937655494e-06,2.900359234904751e-10,0.0,1.9180440133306005e-11,1.8730715159965294e-10,4.1329582984574573e-08,46.8221379376555,55.31323851520028,79.96956908982666,0.00011033262505226652,0.11936804439739404,0.4105247852546488,0.01983813070131283,1.9873192371070775e-06
7,8,0.006646507731311417,8.176395283880015e-07,4.682206764352749e-06,2.877559875410015e-10,0.0,7.773889714884302e-12,1.804801565612968e-10,4.132300353671927e-08,46.82206764352749,55.31360395206964,79.96894351225902,0.00011004140752934829,0.11937084061666382,0.4107458154404622,0.019829694278030593,2.6790657289526157e-06
8,9,0.0066355028282829845,8.153694013466198e-07,4.682203092690446e-06,2.8608546068852786e-10,0.0,4.737523250108098e-12,1.7576099271444704e-10,4.13189747049153e-08,46.82203092690446,55.31393576367137,79.96859522404273,0.00010995315179056716,0.11937261761209679,0.4107914113368556,0.019827252123263122,3.2070059142421286e-06
9,10,0.006621994984072139,8.130575299603446e-07,4.682199971249316e-06,2.8452519228960567e-10,0.0,2.640770628864172e-12,1.7001227407046087e-10,4.131480941295806e-08,46.82199971249317,55.314282299364066,79.9682757708588,0.00010980606326333413,0.11937447466624994,0.4107040414371242,0.01982472477050244,3.784286256189533e-06
10,11,0.006610522017291357,8.103762825602641e-07,4.6821971851412445e-06,2.825301974623192e-10,0.0,1.449716695286905e-12,1.6346140603575563e-10,4.130917782431769e-08,46.82197185141245,55.3146036725268,79.96794538395103,0.00010969517142142745,0.11937717741715713,0.41077408250834047,0.01982423895713409,4.533856105456445e-06
11,12,0.006599519143633432,8.080361992956642e-07,4.682195957998992e-06,2.804413066954556e-10,0.0,1.1106674734032255e-12,1.6650969067014951e-10,4.130364900926458e-08,46.82195957998992,55.31475062645024,79.96779923808938,0.00010958405833613312,0.11937976875609776,0.4107664832232304,0.019825462384559588,4.793311429737423e-06
12,13,0.00659034449073774,8.056217283441144e-07,4.6821947422854785e-06,2.782923714968502e-10,0.0,7.569242046299596e-13,1.7252748755066052e-10,4.129802390408048e-08,46.82194742285479,55.314945386261684,79.96771457628323,0.00010941225978639279,0.11938236207472958,0.41081935435434325,0.019823326662318456,5.044931819312368e-06
13,14,0.0065821693266199365,8.04073521123698e-07,4.682193664526977e-06,2.764067339431708e-10,0.0,4.134766908606062e-13,1.8084033116320895e-10,4.1293353903733705e-08,46.82193664526977,55.31506323782367,79.96758036349624,0.00010935421807780947,0.11938441282721306,0.41079509096264727,0.019815979544139453,5.495798652367024e-06
14,15,0.006575159246688349,8.026038038015934e-07,4.682194149818445e-06,2.751248394552173e-10,0.0,1.1992139722954457e-12,1.8966209201587798e-10,4.128989365035621e-08,46.82194149818445,55.31486106200049,79.9674267705961,0.00010921261297099,0.11938614059793151,0.4108178752931889,0.01980348797579651,6.017975340433172e-06
